Sentiment,clean_text
Negative,subject 'true labelled vision' vision atmos
Neutral,fact senior generation nowadays
Positive,
Negative,shame fund
Negative,
Neutral,spyware
Negative,
Negative,blindfolded
Positive,
Neutral,
Neutral,presage trek
Neutral,dispointing kdramas laguages
Neutral,tidak sedikit cerita bayar cerita banyak tolong buang cerita
Neutral,ark infinity
Positive,lovely
Negative,corporate rise company avaritia anyway
Negative,strange stripper twerking butt gein face body cut sex surely aware pornography freak freaky warrior drowned str le sex
Neutral,kenapa teruss mau nonton lama tiap
Positive,hav
Positive,fan bright bright disable
Negative,allergic asf
Positive,hop bot
Negative,caption compliant spend original unacceptable
Neutral,jolo
Positive,
Positive,okay
Negative,unless vids
Negative,panel stay hire
Neutral,fiu kalepo
Neutral,
Neutral,
Positive,
Neutral,notch
Negative,parece hoy saquen eso versiones animados animando inclusi bueno sus toda su programaci basura eso transformer eso mismo la historias hacen populares esa podrida freight eso deber despedirla
Neutral,pongan rick morty temporadas dem la
Positive,enjoy appreciate provided easier enjoyable
Positive,
Neutral,
Neutral,watchable nunber
Positive,fabulous
Neutral,thuef douse
Neutral,
Neutral,dala nyu kayo naman
Neutral,
Negative,ild case cold murder ol ol
Neutral,zombie seasonal
Negative,piss programme thru half's
Negative,pass hotstar differ
Negative,decide preparing
Negative,fool want
Positive,
Positive,
Negative,might watchable stuck anyway ocean idiotic watchable
Positive,
Neutral,continued dion
Negative,
Positive,
Positive,tile large guess youtubers recommend
Positive,
Positive,minecraft
Neutral,
Positive,funny billing notice dafuq increase
Neutral,sudah bayar lagi suruh bayar tangguhkan
Negative,series's accessaible bound disappointing accessible accessible carried
Positive,
Positive,chep stoff
Positive,stream smoothly relaxing
Negative,
Neutral,ama olsaydi oldu icin parayla yapmamiz ker kiyor kecke parasis parayla walaha
Positive,wow
Neutral,oo mant
Neutral,aloot ihave
Negative,abysmal original
Neutral,saya suka cerita saya boleh tengok sebab menarik
Neutral,ihave aloot
Positive,
Positive,pathetic
Negative,mad kitty engagement
Negative,useless recharging useless frustrated
Neutral,ninakawan nako gumana tang basura ina
Positive,amazon ebay aliexpress
Positive,onne
Positive,flexible recommend round
Negative,transaction completed
Negative,breaking
Negative,stupid
Negative,stuck
Neutral,dance
Positive,flawless
Negative,broke wa crushing volcano cycle doom
Negative,instruction join accessing decided detail leave successful
Positive,thank forward relaxing
Neutral,pat
Negative,paternal category block
Positive,virry
Positive,froze
Positive,turned lowest troubleshooting brightening turned difference
Negative,boffin decided layout fine worse digging convoluted
Negative,guess nurture student
Neutral,asa exorcist twin
Negative,blocking stuck window max
Neutral,
Positive,knew overall overall sponsor category overall enjoyable
Neutral,launched widewine moto
Neutral,
Negative,disgrace violent threatened chopping finger eating cat larrup excuse suggestive community legal court action
Neutral,handphone beda dgn payah
Neutral,scum event
Positive,perfectly
Positive,
Neutral,
Neutral,nnbungun ffffffff
Neutral,subrscribed
Neutral,dinner friday
Neutral,yg apalagi masih kurang lengkap bagus buat korea jepangsaran aja perbanyak lagi jepang seperti naruto shippuden
Negative,stil hoot
Neutral,akane marrie
Neutral,kee kee stru
Positive,
Neutral,david dkdso dksosks narvaez
Neutral,
Positive,houshold
Positive,
Neutral,fuh sais aah
Negative,munny mervel planet
Negative,
Negative,middling older pandemic wasteland social engineering catalogue script shoved shame dropped
Positive,
Neutral,ridiculus
Positive,bored
Neutral,
Positive,
Positive,
Neutral,
Negative,dumb
Positive,consent chat returned
Positive,
Neutral,nettlix
Positive,night
Neutral,dikha dum vo ek tantalum gye karke
Negative,coz negative plz
Positive,
Negative,criminal uk everyone's vpns prevented value anyway criminal
Negative,shown wrong bad
Neutral,htwe zaw
Negative,badd expected solve
Neutral,peux pa c'est le pisodes lira nul
Neutral,hicieron qu
Neutral,allright
Negative,tukang maling duit orang kesel anj berlangganannya gabisa walo udh sering berhentiin najis
Negative,iqoo neo stuck
Negative,surprise worse
Negative,offline reached go infinite chat
Neutral,
Negative,sony tend
Negative,
Positive,
Neutral,drecreasing
Positive,aquos tvp
Positive,
Neutral,esakkibalaji
Positive,ap
Negative,recommended
Positive,
Neutral,perfino sottottitoli italiano tutti sballati capisce ceppa negli tutti gli sottotitoli posto gli riuscite dei altri decenti
Positive,
Neutral,cenami tymi
Positive,among
Negative,smoother company pathetic patience
Neutral,
Negative,greed ring worried highest
Negative,'contact manufacturer blocked allow supposedly
Positive,banner
Positive,
Positive,preview scrolled disconnect
Positive,naruto
Positive,bahaya malaysia suka seksual jom boikot ramai ramai
Neutral,
Neutral,
Positive,
Negative,decade dodgy ideology
Negative,forbiddance plese
Negative,refusing
Negative,cutomer thousand blackball smelly disappointment
Neutral,trek prodigy super
Positive,
Positive,icon forward backward icon touching remain activity irritation attaching pic reference
Positive,menu preview hover eventually reverted original menu idiot think stay leave
Neutral,dialouge channel speaker output
Neutral,taxicab someone's
Neutral,payah aja udah bakalan dibatesin muter ditingal luh kalau ky gini nove iqyi ajaa
Negative,belong moved flaming stupid exceeded wdym raise
Positive,movie's kindly pointed vids age helloooo halloween november probably lol
Negative,
Neutral,mghr lakh iska banta
Neutral,menarik sangat tontonan mengikut citarasa kita
Negative,
Neutral,aps nise
Negative,wrong saved wrong chache religiously writing refounds discount
Positive,popular deficiency ordinary application plugins
Neutral,iska mushkil khulwane banana
Neutral,mc rong sale
Negative,definition joke might worse absurd look break maternal
Positive,housholds bothering hope
Neutral,atmos atmos
Neutral,manually channel
Neutral,bntiiiiiii bilkul
Positive,
Negative,provides remove higher hope
Positive,prefer
Positive,
Neutral,
Negative,notify disappointing cancelling deduction
